numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,link,alteracao
CPV.0011,02/09/2021,"Trata da designação dos fiscais técnicos, fiscais administrativos e gestores do Contrato 01.712/2021 do IFSP-Câmpus Capivari. (DELL)",F,,,Alterada pela portaria n° CPV.0088/2021,"até o vencimento do contrato e de sua garantia, quando houver",Gilberto Bulgraen Junior;Larissa Carvalho Alves	César Eduardo Armelin	Leticia Pedroso Ramos	Eduardo Camargo Maia	Júnio Rodrigues de Oliveira	Antonio Carlos da Silva Bonfim	Rodrigo Scontre,https://drive.ifsp.edu.br/s/JCKHljfSF1cGD3R,,,
CPV.0012,02/09/2021,Trata da designação de membros de banca examinadora para processo seletivo simplificado de professor substituto de LIBRAS do IFSP-Câmpus Capivari.,C,,,extinta,vigência até o fim do processo seletivo.,Marcel de Assis Roque;Gabriel Silva Nascimento	Leticia Pedroso Ramos	Rafael Straiotto Mindin	Maly Magalhães Freitas,https://drive.ifsp.edu.br/s/4cwWaBB8A3xxTJt,,,
CPV.0013,02/09/2021,Trata da designação de substituto à função de Diretor-Geral do IFSP – Câmpus Capivari.,S,,,extinta,de26 de fevereiro de 2021 à 12 de março de 2021,Waldo luis de lucca;leticia pedroso ramos,https://drive.ifsp.edu.br/s/xllm8f5DiXFE8im,,,
CPV.0014,02/09/2021,Trata da designação dos membros da Comissão Própria de Avaliação-CPA Local do IFSP-Câmpus Capivari.,M,,P,revogada pela portaria 26/2022,vigência até 08 de fevereiro de 2023,Silvânia Regina Mendes Moreschi;Ademir Geraldo Cavallari Costalonga;Jomar Borges dos Santos;Renan Giollo Francisco,https://drive.ifsp.edu.br/s/dPf3MTamsFwtCIZ,,,
CPV.0015,02/09/2021,Trata da designação de membros da Comissão de Biossegurança e Preparação para o Retorno às Atividades Presenciais do IFSP - Câmpus Capivari.,M,,,Alterada pela Portaria nº CPV.0030/2021,mandato até 31 de julho de 2021,Maria Elisa de Castro Almeida;Ana Carla Dantas Midões	Everton Pereira Barbosa	Fernando César Russo Gomes	Fleides Teodoro de Lima	Francine Maria Ribeiro	Roberto Bineli Muterle	Beatriz Simonaio Birelli Falco	Eduardo Camargo Maia,https://drive.ifsp.edu.br/s/rRYF1DLU0Cxtruc,Altera CPV.0233/2020;0114/2020;0110/2020;0109/2020,,
CPV.0016,02/09/2021,Trata da designação dos membros da Comissão para Elaboração e Acompanhamento do Projeto Político Pedagógico do IFSP - Câmpus Capivari.,C,,,Alterada pela Portaria 112/2022,sem mandato expresso,Isabel Cristina das Chagas Oliveira;Beatriz Simonaio Birelli Falco;Carlos Fernando Barboza da Silva;Everton Pereira Barbosa;Fabiana Bigaton Tonin;Gianna Andréia Ferreira Gobbi Spadote;Grazielle Nayara Felício Silva;Ivana Lopes de Oliveira;Maria Amélia Ferracciú Pagotto;Talita Barbosa Plantcoski Bulgraen,https://drive.ifsp.edu.br/s/SQcoiYAqZg0fOrf,Altera CPV.0008/2021;0108/2020;0030/2020;0074/2019;0046/2018;0071/2017;0033/2017;0104/2016;0037/2016/;0135/2015,,
CPV.0017,02/09/2021,Trata da designação dos membros da Equipe Local de Formação Continuada dos Professores e de Profissionais da Área Pedagógica do IFSP – Câmpus Capivari.,C,,,Revogada pela Portaria  CPV IFSP Nº .0205/2021,sem mandato expresso,Everton Pereira Barbosa;Beatriz Simonaio Birelli Falco;Fernando Cesar Russo Gomes;Gianna Andréia Ferreira Gobbi Spadote;Isabel Cristina das Chagas Oliveira;Ivana Lopes de Oliveira;juscelino Pereira de Souza;Maria Amélia Ferracciú Pagotto;Talita Barbosa Plantcoski Bulgraen;,https://drive.ifsp.edu.br/s/c6xM5UlHSoiQFY3,Altera CPV.0112/2020;0100/2020;049/2020;0045/2018;0036/2017;0019/2017;0122/2016;0100/2016;0038/2016;0008/2016;0131/2015;0122/2015.,,
CPV.0018,02/09/2021,Trata da designação dos membros da Brigada de Incêndio do IFSP – Câmpus Capivari.,C,,,Alterada pela Portaria nº CPV.0021/2021,sem mandato expresso,Cleidson Santiago de Oliveira;Gilberto Bulgraen Junior	Ana Carla Dantas Midões	André Castilho Garcia	Antonio Carlos da Silva Bomfim	Carolina Marocco Corneta	daniele Cordeiro Motta	Gustavo Baptistella Leite da Silva	Izabel Maria Barral Teixeira	João Batista de Medeiros	Larissa Aparecida Gatti	Leticia Pedroso Ramos	Lucas Bonetti	Luís Eduardo Pais dos Santos	Mayumi Silva Kawamoto	Micael Douglas Diniz	Renan Giollo Francisco	Tiago José Berg	Vitor Brandi Junior	Washington Ernando Pereira Benício.,https://drive.ifsp.edu.br/s/mFqYHLKGeRdjQwj,Altera CPV.0176/2020;0174/2020;0123/2020/ 0051/2020;0194/2019;0176/2019;0077/2019;0069/2018;0169/2017;0163/2017.,,
CPV.0019,02/09/2021,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Alimentos do IFSP-Câmpus Capivari.,C,,,Alterada pela portaria n° CPV.0027/2021,mandato encerra no dia 11 de abril de 2022.,Fernanda Ortolan;Alexandre Santa Bárbara Azevedo	André Castilho Garcia	Carolina Marocco Corneta	Gislaine Vieira Damiani	Grazielle Cristine Elias	Gustavo baptistella Leite da Silva	Igor Vasconcelos Nogueira	Isabel Cristina das Chagas Oliveira	Luís Eduardo Pais dos Santos	Mateus Nordi Esperança	Rafael Resende Maldonado	Talita Barbosa Planticoski Bulgraen	,https://drive.ifsp.edu.br/s/S2vH9c35LJQ2FEj,Altera CPV.0187/2020;0121/2020;0152/2019;0114/2019;0066/2019,,
CPV.0020,02/15/2021,"Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Administração Integrado ao Ensino Médio, modalidade Educação de Jovens e Adultos do IFSP - Câmpus Capivari.",C,,,Alterada pela portaria n° CPV.0031/2021,Até 11 de Abril de 2022,Fleides Teodoro de Lima;Carlos Roberto Paviotti	Fernando Cesar Russo Gomes	Gianna Andréia Ferreira Gobbi Spadote	Gustavo Matarazzo Rezende	Igor Vasconcelos Nogueira	Isabel Cristina das Chagas	Leticia Pedroso Ramos	Marcelo Simplício de Lyra	Maria Amélia Ferracciú Pagotto	Mauro Vanderlei Amorim	Roberta Pereira Pires	Talita Barbosa Plantcoski Bulgraen	Valdir Antonio Vitorino Filho,https://drive.ifsp.edu.br/s/OvJEtlyoDf9V6DH,Altera CPV.0004/2021;0181/2020;0132/2020;0075/2020;0031/2020,,
