ano,numero,publicacao,assunto,classificacao,situacao,validade,servidores,link,alteracao
2016,CPV.0019,02/18/2016,Colegiado do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,M,"Revogada pela Portaria nº CPV.0079/2016, de 30 de junho de 2016","Docentes e dos pedagogos e técnicos administrativos encerra-se em 04/05/2016. Discentes início em 22/06/2015, término 21/06/2016",,https://drive.ifsp.edu.br/s/K8Srqeo3mHidXXn,Altera CPV.0045/2015; 1975/2014
2016,CPV.0020,02/18/2016,Colegiado do Curso Superior de Tecnologia em Processos Químicos,M,"Revogada pela Portaria nº CPV.0080/2016, de 30 de junho de 2016","Docentes e dos pedagogos e técnicos administrativos encerra-se em 04/05/2016. Discentes início em 22/06/2015, término 21/06/2016",,https://drive.ifsp.edu.br/s/uVUwCExq2Ze7az0,Altera CPV.0046/2015; 1958/2015
2016,CPV.0021,02/18/2016,Colegiado do Curso de Licenciatura em Química,M,"Alterada pela Portaria nº CPV.0081/2016, de 30 de junho de 2016","Docentes e dos pedagogos e técnicos administrativos encerra-se em 04/05/2016. Discentes início em 22/06/2015, término 21/06/2016",,https://drive.ifsp.edu.br/s/jkQ2vXpVINRwSNg,Altera CPV.0047/2015
2016,CPV.0022,02/18/2016,Núcleo Docente Estruturante (NDE) do Curso de Licenciatura em Química,M,"Alterada pela Portaria nº CPV.0144/2016, de 23 de novembro de 2016",,,https://drive.ifsp.edu.br/s/G8BFyBhCKqiSaWu,Altera CPV.0026/2015; 1289/2014
2016,CPV.0023,02/18/2016,Trata da designação de substituto à função de Coordenador de Apoio ao Ensino,S,extinta,16 a 25 de maio de 2016,,https://drive.ifsp.edu.br/s/BKCiMO3s6GeCg8x,
2016,CPV.0024,02/24/2016,Comissão para elaboração do Projeto Pedagógico do Curso Técnico em Administração Integrado ao Ensino Médio na modalidade Educação de Jovens e Adultos,C,"Alterada pela Portaria nº CPV.0130/2016, de 27 de outubro de 2016",,,https://drive.ifsp.edu.br/s/8ViMHCS6fvrGzVU,Altera CPV.0006/2015
2016,CPV.0025,02/24/2016,Comissão de Área para Atividade Docente - Área do Núcleo Comum da Educação Básica,C,"Revogada pela Portaria nº CPV.0049/2016, de 20 de abril de 2016","07/11/2014 a 07/11/2016, admitindo-se no máximo dois mandatos consecutivos",,https://drive.ifsp.edu.br/s/8uQVlZmVaWbvZQA,Altera CPV.0010/2015; 0005/2014
2016,CPV.0026,02/24/2016,Trata da designação dos membros da Subcomissão para Permanência e Êxito dos Estudantes do IFSP-Câmpus Capivari,C,"Alterada pela Portaria nº CPV.0070/2017, de 18 de abril de 2017",,,https://drive.ifsp.edu.br/s/i6MGprP8z1N83x3,Altera CPV.0126/2015
2016,CPV.0027,02/24/2016,Trata da designação dos membros do Comitê Local de Mobilização Contra o Aedes aegypti,C,"Revogada pela Portaria nº CPV.0011/2018, de 08 de fevereiro de 2018",,,https://drive.ifsp.edu.br/s/Z95qeHvY4rSSM6s,
2016,CPV.0028,02/24/2016,Trata da nomeação dos membros do Conselho de Câmpus,M,"Alterada pela Portaria nº CPV.0046/2016, de 21 de março de 2016",12/11/2017,,https://drive.ifsp.edu.br/s/BXEOrBmeX5eBB3V,Altera CPV.0015/2016; 0015/2016; 0095/2015
2016,CPV.0029,02/25/2016,Comitê de Iniciação Científica,C,extinta,4/16/2017,,https://drive.ifsp.edu.br/s/orAdnTGBXOyYBBD,Altera CPV.0031/2015
2016,CPV.0030,02/26/2016,Trata da designação de substituto à função de Coordenador de Tecnologia da Informação,S,extinta,15 a 24/03/2016,,https://drive.ifsp.edu.br/s/o9Cnsq2RtHQYUEo,
2016,CPV.0031,02/29/2016,Trata da designação dos membros da comissão de avaliação periódica dos serviços da cantina,C,extinta,,,https://drive.ifsp.edu.br/s/X6Ie4XpWazWeL5R,
2016,CPV.0032,03/01/2016,Fiscais de contrato 005/2015 - Esc Fonseccas Segurança Eireli (Vigilância),F,extinta,,,https://drive.ifsp.edu.br/s/9pJNvuNt9E3nz5O,Altera CPV.0056/2015
2016,CPV.0033,03/03/2016,Trata da constituição das Comissões para Avaliação de Atividade Docente-CAAD,M,"Alterada pela Portaria nº CPV.0009/2017, de 02 de fevereiro de 2017",,,https://drive.ifsp.edu.br/s/E8OnUtpdVl6Bpam,
2016,CPV.0034,03/03/2016,Trata da designação de membros de banca examinadora para processo seletivo simplificado de professor substituto,C,extinta,,,https://drive.ifsp.edu.br/s/cpvQUQi90vGTrW1,
2016,CPV.0035,03/08/2016,Trata da designação de substituto à função de Coordenador de Registros Escolares,C,extinta,08/03 a 05/07/2016,,https://drive.ifsp.edu.br/s/QEzdJazDQEc0HNf,
2016,CPV.0036,03/09/2016,Trata da designação dos membros da Comissão de Extensão,C,"Alterada pela Portaria nº CPV.0043/2017, de 13 de março de 2017",,,https://drive.ifsp.edu.br/s/3sAmgQLjBUAhBQo,Altera CPV.0106/2015
2016,CPV.0037,03/09/2016,Comissão para elaboração do Projeto Político Pedagógico,C,"Alterada pela Portaria nº CPV.104/2016, de 09 de agosto de 2016",,,https://drive.ifsp.edu.br/s/z4Kjrd58qKwLzec,Altera CPV.130/2015; 0091/2015; 0059/2015; 0007/2015; 0023/2014; 4384/2014
2016,CPV.0038,03/09/2016,Trata da designação dos membros da Equipe Local de Formação Continuada dos Professores e de Profissionais da àrea Pedagógica,C,"Alterada pela Portaria nº CPV.0100/2016, de 09 de agosto de 2016",,,https://drive.ifsp.edu.br/s/WUzZWcYhLeQLBxf,Altera CPV.0008/2016;0131/2015; 0122/2015
2016,CPV.0039,03/10/2016,Trata da aprovação dos Projetos Institucionais - 1ª semestre de 2016.,C,"Alterada pela Portaria nº CPV.0042/2016, de 16 de março de 2016",,,https://drive.ifsp.edu.br/s/P387lz9KKzGKHb0,Altera CPV.0135/2015
2016,CPV.0040,03/14/2016,Trata da designação de substituto à função de Coordenador de Administração,S,extinta,04 a 18/04/2016,,https://drive.ifsp.edu.br/s/mPX65F0W4bAOIms,
2016,CPV.0041,03/16/2016,Trata da designação dos fiscais do contrato 004.712/2016 (Manutenção Predial),F,revogada pela portaria nº CPV. 0106/2019,,,https://drive.ifsp.edu.br/s/pz2wm7Wasa8DfDf,
2016,CPV.0042,03/16/2016,Trata da aprovação dos Projetos Institucionais - 1ª semestre de 2016.,C,"Alterada pela Portaria nº CPV.0048/2016, de 04 de abril de 2016",,,https://drive.ifsp.edu.br/s/mmkRfxSZaZ8M5cQ,Altera CPV.0039/2016; 135/2015; 
2016,CPV.0043,03/16/2016,Trata da designação dos membros da Comissão Organizadora da IV Semana de Ciência e Tecnologia,C,"Alterada pela Portaria nº CPV.0055/2016, de 06 de maio de 2016",,,https://drive.ifsp.edu.br/s/fSAL4M9Vdm4oD0i,Altera CPV.0003/2016; 0132/2015
2016,CPV.0044,03/17/2016,Núcleo Docente Estruturante (NDE) do Curso Superior de Tecnologia em Processos Químicos,M,"Alterada pela Portaria nº CPV.0023/2017, de 14 de fevereiro de 2017",,,https://drive.ifsp.edu.br/s/gBftCjXmTCX1Pb8,Altera CPV.0014/2015; 851/2014
2016,CPV.0045,03/18/2016,Trata da designação dos fiscais do contrato 003.712/2016 (Conectividade IP),F,"Revogada pela Portaria nº CPV.0010/2018, de 07 de fevereiro de 2018",,,https://drive.ifsp.edu.br/s/gBftCjXmTCX1Pb8,
2016,CPV.0046,03/21/2016,Trata da nomeação dos membros do Conselho de Câmpus,M,"Alterada pela Portaria nº CPV.0119/2016, de 30 de setembro de 2016",12/11/2017,,https://drive.ifsp.edu.br/s/3NC6uPB3LgldQMk,Altera CPV.0028/2016; 0015/2016; 0015/2016; 0095/2015
2016,CPV.0047,03/31/2016,Trata da designação de substituto à função de Coordenador de Apoio à Direção,S,extinta,01 a 06/04/2016,,https://drive.ifsp.edu.br/s/H8qH2ZEN8wTj9BS,
2016,CPV.0048,04/04/2016,Trata da aprovação dos Projetos Institucionais - 1ª semestre de 2016.,C,"Alterada pela Portaria nº CPV.0064/2016, de 30 de maio de 2016",,,https://drive.ifsp.edu.br/s/z90CQEivPczVftN,Altera CPV.0042/2016; 0039/2016; 135/2015; 
2016,CPV.0049,04/20/2016,Revogação Portarias da CAAD,R,extinta,,,https://drive.ifsp.edu.br/s/XxxvL0pn7Qr3iq3,"Revoga CPV.0009/2015, CPV.0011/2015, CPV.0025/2016"
2016,CPV.0050,04/20/2016,CAAD - Ciências da Natureza,M,"Alterada pela Portaria nº CPV.0185/2017, de 06 de dezembro de 2017",4/20/2018,,https://drive.ifsp.edu.br/s/rxNjV8kt5a9yzKw,
2016,CPV.0051,04/20/2016,CAAD - Informática e Gestão,M,"Alterada pela Portaria nº CPV.0108/2016, de 26 de agosto de 2016",4/20/2018,,https://drive.ifsp.edu.br/s/MvLDXdKmOBqHYvy,
2016,CPV.0052,04/20/2016,CAAD - Linguagens,M,"Alterada pela Portaria nº CPV.0109/2016, de 26 de agosto de 2016",4/20/2018,,https://drive.ifsp.edu.br/s/bWesECUv7esTaFM,
2016,CPV.0053,04/20/2016,CAAD de Química,M,"Alterada pela Portaria nº CPV.0015/2018, de 08 de fevereiro de 2018",4/20/2018,,https://drive.ifsp.edu.br/s/41XNYxR9b3Kij9x,
2016,CPV.0054,05/02/2016,Comissão de Eventos e Atividades,C,"Alterada pela Portaria nº CPV.0025/2017, de 15 de fevereiro de 2017",,,https://drive.ifsp.edu.br/s/TpLM5QOOzGDMOZL,
2016,CPV.0055,05/06/2016,Trata da designação dos membros da Comissão Organizadora da IV Semana de Ciência e Tecnologia,C,"Alterada pela Portaria nº CPV.0099/2016, de 09 de agosto de 2016",,,https://drive.ifsp.edu.br/s/C9Fdhg68rVGnICS,Altera CPV.0043/2016;0003/2016; 0132/2015
2016,CPV.0056,05/06/2016,Comissão para elaboração e implementação do Projeto Pedagógico do Curso de Pós-graduação Lato Sensu em Gestão da Tecnologia da Informação do IFSP-Câmpus Capivari,C,"Alterada pela Portaria nº CPV.0101/2016, de 09 de agosto de 2016",,,https://drive.ifsp.edu.br/s/mygkZhT8H0ghjfj,
2016,CPV.0057,05/06/2016,Comissão para elaboração e implementação do Projeto Pedagógico do Curso de Pós-graduação Lato Sensu em Tecnologias da Informação e Comunicação Aplicadas na Educação do IFSP-Câmpus Capivari,C,Alterada pela Portaria nº CPV.0097/2016,,,https://drive.ifsp.edu.br/s/a8XxCmLaFv7ilFS,
2016,CPV.0058,05/06/2016,Trata da designação de substituto à função de Coordenador de Gestão de Pessoas,S,extinta,10 a 19/05/2016,,https://drive.ifsp.edu.br/s/USn5EwRkRYRw5oF,
2016,CPV.0059,05/18/2016,Orientador Estágio Curricular - Técnico em Química Integrado ao Ensino Médio,C,"Revogada Portaria nº CPV.0086/2016, 25 de julho de 2016",,,https://drive.ifsp.edu.br/s/vBiWC95Or5n2UCn,
2016,CPV.0060,05/18/2016,Orientador Estágio Curricular - Tecnologia em Processos Químicos,C,"Revogada Portaria nº CPV.0087/2016, 25 de julho de 2016",,,https://drive.ifsp.edu.br/s/BZ6pT9YPwHPIETS,
2016,CPV.0061,05/18/2016,Orientador Estágio Curricular - Licenciatura em Química,C,"Revogada Portaria nº CPV.0088/2016, 25 de julho de 2016",,,https://drive.ifsp.edu.br/s/Y6CoJ6P9Fk4JCjd,
2016,CPV.0062,05/19/2016,CAAD - Ciências Humanas e Sociais,M,"Alterada pela Portaria nº CPV.0020/2018, de 21 de fevereiro de 2018",5/19/2018,,https://drive.ifsp.edu.br/s/HrqB3lyQYzC7TPI,
2016,CPV.0063,05/25/2016,Comissão Própria de Avaliação-CPA,C,"Alterada pela Portaria nº CPV.0119/2017, de 31 de julho de 2017",,,https://drive.ifsp.edu.br/s/omSLQavtlKFiFvg,
2016,CPV.0064,05/30/2016,Trata da aprovação dos Projetos Institucionais - 1ª semestre de 2016.,C,extinta,,,https://drive.ifsp.edu.br/s/ABExpDXjBqRRfTk,Altera CPV.0048/2016; 0042/2016; 0039/2016; 135/2015; 
2016,CPV.0065,05/31/2016,Trata da designação de substituto ao cargo de direção de Gerente Administrativo,S,extinta,13 a 22/06/2016,,https://drive.ifsp.edu.br/s/sTKslkYBTNjg0RC,
2016,CPV.0066,06/01/2016,Trata da designação de substituto à função gratificada de Coordenador de Apoio à Direção,S,extinta,11 a 25/07/2016,,https://drive.ifsp.edu.br/s/zHPYLYLIj2kFhfV,
2016,CPV.0067,06/01/2016,Trata da designação de substituto ao cargo de direção de Gerente Educacional,S,extinta,11 a 20/07/2016,,https://drive.ifsp.edu.br/s/p9lkCAYgqMcX5yP,
2016,CPV.0068,06/02/2016,Trata da designação dos membros da Comissão Eleitoral para eleição do Grêmio Estudantil,C,extinta,,,https://drive.ifsp.edu.br/s/enR1YotgINXtVbI,
2016,CPV.0069,06/02/2016,Trata da designação de substituto à função justificada de Coordenador do Núcleo Sociopedagógico,S,extinta,27/06 a 06/07/2016,,https://drive.ifsp.edu.br/s/TMKlmA4D41O5d6c,
2016,CPV.0070,06/06/2016,Trata da concessão de retribuição por titulação ao servidor Mateus Nordi Esperança,,extinta,,,https://drive.ifsp.edu.br/s/aML5adode1Myk5d,
2016,CPV.0071,06/08/2016,Trata da designação de substituto à função de Diretor Geral,S,extinta,11 a 22/07/2016,,https://drive.ifsp.edu.br/s/eixVWrx8m7QAgBp,
2016,CPV.0072,06/14/2016,Prorrogação do término do mandato do colegiado do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,M,extinta,Representantes docentes e dos pedagogos e técnicos administrativos e representantes discente encerra-se em 27/07/2016,,https://drive.ifsp.edu.br/s/Y0IogDBsYa3vQm9,
2016,CPV.0073,06/14/2016,Prorrogação do término do mandato do colegiado do Curso Superior de Tecnologia em Processos Químicos,M,extinta,Representantes docentes e dos pedagogos e técnicos administrativos e representantes discente encerra-se em 27/07/2016,,https://drive.ifsp.edu.br/s/GVbvRWgAwwpdCIM,
2016,CPV.0074,06/14/2016,Prorrogação do término do mandato do colegiado do Curso de Licenciatura em Química,M,extinta,Representantes docentes e dos pedagogos e técnicos administrativos encerra-se em 21/06/2017 e representantes discente encerra-se em 27/07/2016,,https://drive.ifsp.edu.br/s/dkvwmJc4Jro4ytC,
2016,CPV.0075,06/14/2016,Trata da concessão de retribuição por titulação ao servidor Wagner Machado do Amaral,,extinta,,,https://drive.ifsp.edu.br/s/TbEXjmyYpDQWO88,
2016,CPV.0076,06/16/2016,"Trata da designação de substituto à função justificada de Coordenador de Manutenção, Almoxarifado e Patrimônio",S,extinta,04/07 a 02/08/2016,,https://drive.ifsp.edu.br/s/765uyh9qYMm4T6z,
2016,CPV.0077,06/21/2016,Trata da designação de substituto à função gratificada de Coordenador de Registros Escolares - Prorrogação Licença Maternidade,S,extinta,06/07 a 03/09/2016,,https://drive.ifsp.edu.br/s/J4r32y3k5tz6toa,
2016,CPV.0078,06/29/2016,Trata da designação de substituto à função gratificada de Coordenador de Tecnologia da Informação,S,extinta,25/07 a 08/08/2016,,https://drive.ifsp.edu.br/s/OOAyLl1JjIoSiGV,
2016,CPV.0079,06/30/2016,Colegiado do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,M,"Alterada pela Portaria nº CPV.0007/2017, de 01 de fevereiro de 2017. Revogada pela Portaria nº CPV.0141/2018, de 03 de setembro de 2018.",Representantes docentes e dos pedagogos e técnicos em assuntos educacionais inicia-se em 28/07/2016 e encerra-se em 27/07/2018. Representantes discentes inicia-se em 28/07/2016 e encerra-se em 27/07/2017.,,https://drive.ifsp.edu.br/s/zKHK3g46o2h6ATH,
2016,CPV.0080,06/30/2016,Colegiado do Curso Superior de Tecnologia em Processos Químicos,M,"Alterada pela Portaria nº CPv.0125/2017, de 11 de agosto de 2017. Revogada pela Portaria nº CPV.0139/2018, de 03 de setembro de 2018.",Representantes docentes e dos pedagogos e técnicos em assuntos educacionais inicia-se em 28/07/2016 e encerra-se em 27/07/2018. Representantes discentes inicia-se em 28/07/2016 e encerra-se em 27/07/2017.,,https://drive.ifsp.edu.br/s/EROwtpGGvXTvcSM,
2016,CPV.0081,06/30/2016,Colegiado do Curso de Licenciatura em Química,M,"Alterada pela Portaria nº CPV.0046/2017, de 16 de março de 2017",Representantes docentes e dos pedagogos e técnicos em assuntos educacionais encerra-se em 21/06/2017. Representantes discentes inicia-se em 28/07/2016 e encerra-se em 27/07/2017.,,https://drive.ifsp.edu.br/s/yYRr00CaAqYq4U3,
2016,CPV.0082,07/04/2016,Trata da designação dos fiscais do contrato 005.712/2016 (Paredes de drywall),F,"Revogada pela Portaria nº CPV.0027/2017, de 15 de fevereiro de 2017",,,https://drive.ifsp.edu.br/s/iWDR9g4veyaPSZM,
2016,CPV.0083,07/06/2016,Trata do horário de funcionamento do IFSP-Câmpus Capivari durante período de férias escolares de 11 a 25 de julho de 2016,,extinta,11 a 25/07/2016,,https://drive.ifsp.edu.br/s/KxiMlpuZcE11kni,
2016,CPV.0084,07/07/2016,Trata da designação de substituto à função gratificada de Coordenador de Extensão,S,extinta,11 a 17/07/2016,,https://drive.ifsp.edu.br/s/hv8ZcmXsE4H7tIs,
2016,CPV.0085,07/07/2016,Trata da designação de substituto à função gratificada de Coordenador de Extensão,S,extinta,18 a 25/07/2016,,https://drive.ifsp.edu.br/s/Wo9XppkE0xkZEMo,
2016,CPV.0086,07/25/2016,Orientador Estágio Curricular - Técnico em Química Integrado ao Ensino Médio,C,Revogada pela Portaria pela Portaria n° CPV.0052/2019,,,https://drive.ifsp.edu.br/s/atTgiXUG2A5jrF0,
2016,CPV.0087,07/25/2016,Orientador Estágio Curricular - Tecnologia em Processos Químicos,C,Revogada pela Portaria n° CPV.0053/2019,,,https://drive.ifsp.edu.br/s/Xfrlxa4dA3PzYrn,
2016,CPV.0088,07/25/2016,Orientador Estágio Curricular - Licenciatura em Química,C,"Revogada pela portaria nº CPV.0145/2016, de 23 de novembro de 2016",,,https://drive.ifsp.edu.br/s/EfXE8pePjpOZCD8,
2016,CPV.0089,07/25/2016,Orientador Estágio Curricular - Técnico em Química Concomitante/Subsequente,C,Revogada pela Portaria n° CPV.0054/2019,,,https://drive.ifsp.edu.br/s/9jt4CBbj2lOO9Jh,
2016,CPV.0090,07/25/2016,Comissão de Apoio para Efetivação de Matrícula e Análise de Documentação de Candidatos que optaram pelo Sistema de Reserva de Vagas,C,extinta,,,https://drive.ifsp.edu.br/s/BRzmSQQDcz3DR9o,
2016,CPV.0091,07/25/2016,Trata da designação dos membros da Comissão de Comunicação,C,"Alterada pela Portaria nº CPV.0003/2017, de 30 de janeiro de 2017",,,https://drive.ifsp.edu.br/s/LkqDFFq5vfoPtqQ,
2016,CPV.0092,07/27/2016,Trata da aprovação do Calendário Escolar 2016 dos Cursos de Graduação,,extinta,,,https://drive.ifsp.edu.br/s/QTvVmxO1UmI0cPf,"Altera CPV,0099/2015"
2016,CPV.0093,07/27/2016,Trata da designação de membros de banca examinadora para processo seletivo simplificado de professor substituto,C,extinta,,,https://drive.ifsp.edu.br/s/fjgM01QASG6seJ1,
2016,CPV.0094,08/03/2016,Trata da designação de substituto à função de Coordendor de Apoio ao Ensino do IFSP-Câmpus Capivari,S,extinta,18/08 a 02/09/2016,,https://drive.ifsp.edu.br/s/GxHqJzl5VFiZnCp,
2016,CPV.0095,08/03/2016,Trata da designação dos fiscais do contrato 06.712/2016 (Serviço continuado de Portaria),F,"Revogada pela Portaria nº CPV.0008/2019, de 29 de janeiro de 2019",,,https://drive.ifsp.edu.br/s/pXrmZXRohqXdezB,
2016,CPV.0096,08/03/2016,Trata da designação dos membros da Comissão de Comunicação,C,Alterada pela portaria nº CPV.0091/2016,,,https://drive.ifsp.edu.br/s/9zzcbdDYPmzX11K,Altera CPV.0091/2016
2016,CPV.0097,08/04/2016,Comissão para elaboração e implementação do Projeto Pedagógico do Curso de Pós-graduação Lato Sensu em Tecnologias da Informação e Comunicação Aplicadas na Educação do IFSP-Câmpus Capivari,C,"Alterada pela Portaria nº CPV.0017/2017, de 14 de fevereiro de 2017",,,https://drive.ifsp.edu.br/s/Q4RTMGsBnzS30vj,Altera CPV.0057/2016
2016,CPV.0098,08/08/2016,Comissão para elaboração de proposta de edital para eleições de coordenadores de cursos do IFSP-Câmpus Capivari,C,extinta,ate 23 de setembro de 2016,,https://drive.ifsp.edu.br/s/7dkR3PGMYoTMqkV,
2016,CPV.0099,08/09/2016,Trata da designação dos membros da Comissão Organizadora da IV Semana de Ciência e Tecnologia,C,"Alterada pela Portaria nº CPV.0129/2016, de 26 de outubro de 2016",,,https://drive.ifsp.edu.br/s/jCSGPxV6u7Wp1rr,Altera CPV.0055/2016; 0043/2016;0003/2016; 0132/2015
2016,CPV.0100,08/09/2016,Trata da designação dos membros da Equipe Local de Formação Continuada dos Professores e de Profissionais da àrea Pedagógica,C,"Alterada pela Portaria nº CPV.0122/2016, de 10 de outubro de 2016",,,https://drive.ifsp.edu.br/s/pONpoxf6ecMGABh,Altera CPV.0038/2016;.0008/2016;0131/2015; 0122/2015
2016,CPV.0101,08/09/2016,Comissão para elaboração e implementação do Projeto Pedagógico do Curso de Pós-graduação Lato Sensu em Gestão da Tecnologia da Informação do IFSP-Câmpus Capivari,C,"Alterada pela Portaria nº CPV.0032/2017, de 06 de março de 2017",,,https://drive.ifsp.edu.br/s/HCkeHIitwLdz6NK,Altera CPV.0056/2016
2016,CPV.0102,08/09/2016,Comissão para Estudo de Viabilidade da Proposição de Inclusão de Novos Cursos no PDI,C,Alterada pela Portaria nº CPV.0102/2016,"Alterada pela Portaria nº CPV.0157/2016, de 15 de dezembro de 2016 (Final do primeiro semestre de 2017)",,https://drive.ifsp.edu.br/s/xFPRzCeFLZc8Dye,
2016,CPV.0103,08/09/2016,Núcleo de Atendimento às Pessoas com Necessidades Específicas (NAPNE),M,"Alterada pela Portaria nº CPV.0121/2016, de 10 de outubro de 2016",,,https://drive.ifsp.edu.br/s/f6cplCzGftyv7t6,Altera CPV.0017/2016; 0133/2015; 0076/2015; 0075/2015; 0032/2015
2016,CPV.0104,08/09/2016,Comissão para elaboração do Projeto Político Pedagógico,C,"Alterada pela Portaria nº CPV.0033/2017, de 06 de março de 2017",,,https://drive.ifsp.edu.br/s/FUt4x9PL3sIpNre,Altera CPV.0037/2016; 130/2015; 0091/2015; 0059/2015; 0007/2015; 0023/2014; 4384/2014
2016,CPV.0105,08/10/2016,Projetos Institucionais - 2º semestre de 2016,C,"Alterada pela Portaria nº CPV.0128/2016, de 25 de outubro de 2016",,,https://drive.ifsp.edu.br/s/r7IxLs6GvKbQm6o,
2016,CPV.0106,08/15/2016,Comissão para elaboração e implementação do Projeto Pedagógico do Programa Especial de Formação de Docentes do IFSP-Câmpus Capivari,C,"Alterada pela Portaria nº CPV.0116/2016, de 23 de setembro de 2016",,,https://drive.ifsp.edu.br/s/9uSjRMjxBHh6KNh,
2016,CPV.0107,08/19/2016,Trata da designação de substituto à função gratificada de Coordenador de Registros Escolares - Férias,S,"Alterada pela Portaria nº CPV.0111/2016, de 13 de setembro de 2016",04/09 a 03/10/2016,,https://drive.ifsp.edu.br/s/JBWclV3YOKX557j,
