ano,numero,publicacao,assunto,classificacao,situacao,validade,servidores,link,alteracao
2016,CPV.0001,01/26/2016,Trata da concessão de retribuição por titulação ao servidor Afranio Tenorio da Silva,,extinta,,,https://drive.ifsp.edu.br/s/XeQe5BAPQtdD4Ib,
2016,CPV.0002,02/01/2016,Trata da designação dos membros da comissão para Elaboração e Implementação do Projeto Pedagógico do Curso Técnico em Informática Integrado ao Ensino Médio,C,"Alterada pela Portaria nº CPV.0136/2016, de 11 de novembro de 2016",Até a formatura da primeira turma,,https://drive.ifsp.edu.br/s/wWea4z4W9O48ThU,Altera CPV.0125/2015
2016,CPV.0003,02/01/2016,Trata da designação dos membros da Comissão Organizadora da IV Semana de Ciência e Tecnologia,C,"Alterada pela Portaria nº CPV.0043/2016, de 16 de março de 2016",,,https://drive.ifsp.edu.br/s/VJWyKK5fSF32fHQ,Altera CPV.0132/2015
2016,CPV.0004,02/01/2016,Trata da concessão de retribuição por titulação à servidora Mayumi Silva Kawamoto,,extinta,,,https://drive.ifsp.edu.br/s/ofqUVayHCNJyF7P,
2016,CPV.0005,02/03/2016,Trata da designação dos membros da comissão para Elaboração do Projeto Pedagógico do Curso (CEIC) Técnico em Química Concomitante/Subsequente,C,"Alterada pela Portaria nº CPV.0021/2017, de 14 de fevereiro de 2017",,,https://drive.google.com/file/d/1HznpZcNV1UQjMAtZlygDPQMRwGDGM_-C/view?usp=sharing,
2016,CPV.0006,02/03/2016,Comissão para elaboração do Projeto Pedagógico do Curso Técnico em Administração Integrado ao Ensino Médio na modalidade Educação de Jovens e Adultos,C,"Alterada pela Portaria nº CPV.0024/2016, de 24 de fevereiro de 2016",,,https://drive.ifsp.edu.br/s/eA8mU7Y3FspigeC,Altera CPV.105/2015; 0071/2015; 0058/2015; 0022/2015; 0020/2015
2016,CPV.0007,02/03/2016,Fiscais de contrato 002/2013 - Telefonica Brasil S/A (Telefonia),F,"Revogada pela Portaria nº CPV.0010/2018, de 07 de fevereiro de 2018",,,https://drive.ifsp.edu.br/s/G3OiWKJ6BWQyBWX,Altera 695/2014
2016,CPV.0008,02/03/2016,Trata da designação dos membros da Equipe Local de Formação Continuada dos Professores e de Profissionais da àrea Pedagógica,C,"Alterada pela Portaria nº CPV.0038/2016, de 09 de março de 2016",,,https://drive.ifsp.edu.br/s/uQtzxMeVCPyO4sV,Altera CPV.0131/2015; 0122/2015
2016,CPV.0009,02/03/2016,Fiscais de contrato 003/2015 - Xerografia Informática Ltda - EPP (Reprografia),F,"Alterada pela Portaria nº CPV.0034/2018, de 12 de março de 2018",,,https://drive.ifsp.edu.br/s/LlPyKp6Lo4n2Mys,Altera CPV.0017/2015
2016,CPV.0010,02/05/2016,Trata da aprovação do Calendário Escolar 2016 dos Cursos Técnicos Concomitantes e Subsequentes,,extinta,,,https://drive.ifsp.edu.br/s/CV2FlNQoBZJa39x,
2016,CPV.0011,02/05/2016,Trata da aprovação do Calendário Escolar 2016 dos Cursos Técnicos Integrados ao Ensino Médio,,extinta,,,https://drive.ifsp.edu.br/s/LpotYKkP1aDKoCZ,
2016,CPV.0012,02/05/2016,Trata da aprovação do Calendário Escolar 2016 dos Cursos de Graduação,,extinta,,,https://drive.ifsp.edu.br/s/fvB9zb9HwkeWXzJ,
2016,CPV.0013,02/11/2016,Trata da designação dos fiscais do Contrato 001/2016 (Cantina),F,revogada pela portaria nº CPV.0137/2019,,,https://drive.ifsp.edu.br/s/fvB9zb9HwkeWXzJ,
2016,CPV.0014,02/11/2016,Trata do horário de funcionamento,,revogada pela portaria IFSP CPV Nº CPV.0161/2021,,,https://drive.ifsp.edu.br/s/RFEvwRyW9N1ekfC,
2016,CPV.0015,02/11/2016,Trata da nomeação dos membros do Conselho de Câmpus,M,"Alterada pela Portaria nº CPV.0028/2016, de 24 de fevereiro de 2016",12/11/2017,,https://drive.ifsp.edu.br/s/HlSIXenwy9GzdJ4,Altera CPV.0095/2015
2016,CPV.0016,02/16/2016,Trata da designação dos fiscais do Contrato 002/2016 (Limpeza),F,revogada pela portaria nº CPV.0137/2019,,,https://drive.ifsp.edu.br/s/OujS2Sf863agdXu,
2016,CPV.0017,02/16/2016,Núcleo de Atendimento às Pessoas com Necessidades Específicas (NAPNE),M,"Alterada pela Portaria nº CPV.0103/2016, de 09 de agosto de 2016",,,https://drive.ifsp.edu.br/s/KF2z4TvzGUBuo4u,Altera CPV.0133/2015; 0076/2015; 0075/2015; 0032/2015
2016,CPV.0018,02/17/2016,Trata da revogação de portarias,R,extinta,,,https://drive.ifsp.edu.br/s/slIUwgLTl83wkpM,"Revoga CPV.0007/14, CPV.0012/14, CPV.0014/14, CPV.0079/15"
