ano,numero,publicacao,assunto,classificacao,situacao,validade,servidores,link,alteracao
2017,CPV.0001,01/18/2017,Trata da designação dos fiscais do Contrato 01.712/2017 do IFSP-Cãmpus Capivari (Serviço de Reprografia) - Início em 18/01/2017,F,"Alterada pela Portaria nº CPV.0155/2018, de 22 de outubro de 2018",,,https://drive.ifsp.edu.br/s/5dw9dEKgNqqcqmm,
2017,CPV.0002,01/26/2017,Comissão de Apoio para Efetivação de Matrícula e Análise de Documentação de Candidatos que optaram pelo Sistema de Reserva de Vagas,C,extinta,,,https://drive.ifsp.edu.br/s/FhBDf4QrGgmaEFX,
2017,CPV.0003,01/30/2017,Trata da designação dos membros da Comissão de Comunicação,C,"Alterada pela Portaria nº CPV.0041/2018, de 13 de março de 2018",,,https://drive.ifsp.edu.br/s/xY3rzJtEvVfM9yx,Altera CPV.0091/2016
2017,CPV.0004,01/31/2017,Trata da designação dos fiscais do Contrato 02.712/2017 do IFSP-Câmpus Capivari (Cantina) - Início em 01/02/2017,F,Alterada pela Portaria nº CPV.0010/2017,,,https://drive.ifsp.edu.br/s/ShyxNleEXqCjeG7,
2017,CPV.0005,02/01/2017,Trata da concessão de retribuição por titulação ao servidor Fernando Cesar Russo Gomes,,extinta,,,https://drive.ifsp.edu.br/s/4Gyn7yT7oYV0XMu,
2017,CPV.0006,02/01/2017,Núcleo Docente Estruturante (NDE) do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,M,"Tornar sem efeito pela Portaria nº CPV.0041/2017, de 06 de março de 2017",,,https://drive.ifsp.edu.br/s/ebwg2gKfej6hNjB,Altera CPV.0021/2015; 690/2014; 1039/2013
2017,CPV.0007,02/01/2017,Colegiado do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,M,"Alterada pela Portaria nº CPV.0045/2017, de 16 de março de 2017. Revogada pela Portaria nº CPV.0141/2018, de 03 de setembro de 2018.",Representantes docentes e dos pedagogos e técnicos em assuntos educacionais inicia-se em 28/07/2016 e encerra-se em 27/07/2018. Representantes discentes inicia-se em 28/07/2016 e encerra-se em 27/07/2017.,,https://drive.ifsp.edu.br/s/ebwg2gKfej6hNjB,Altera CPV.0079/2016
2017,CPV.0008,02/01/2017,Trata da nomeação dos membros do Conselho de Câmpus,M,"Alterada pela Portaria nº CPV.0063/2017, de 11 de abril de 2017",12/11/2017,,https://drive.ifsp.edu.br/s/rhKdY6yQNwMsnkU,Altera CPV.0149/2016;0119/2016; 0046/2016; 0028/2016; 0015/2016; 0015/2016; 0095/2015
2017,CPV.0009,02/02/2017,Trata da constituição das Comissões para Avaliação de Atividade Docente-CAAD,M,Revogada pela Portaria nº CPV.0009/2020,,,https://drive.ifsp.edu.br/s/sEpHlCNP5XzMvWw,Altera CPV.003/2016; 0132/2015
2017,CPV.0010,02/02/2017,Trata da designação dos fiscais do Contrato 02.712/2017 do IFSP-Câmpus Capivari (Cantina) - Início em 01/02/2017,F,extinta,,,https://drive.ifsp.edu.br/s/ViguCUKGr9zKZJY,torna sem efeito CPV.0004/2017
