ano,numero,publicacao,assunto,classificacao,situacao,validade,servidores,link,alteracao
2020,CPV.0001,01/09/2020,"Trata da designação dos fiscais técnicos, fiscais administrativos e gestores do Contrato 02.712/2019 do IFSP-Câmpus Capivari.(FONSECA E TELLES)",F,Alterada Pela Portaria nº CPV.0096/2020,até o fim do contrato,"Gilberto Bulgraen Junior; Zenilton José da Rocha; César Eduardo Armelin; Danusa Conceição ;Eduardo Camargo Maia",https://drive.ifsp.edu.br/s/LkskKeM73bmk0aK,Altera CPV.0179/2019; 0016/2019;
2020,CPV.0002,01/15/2020,Designa servidor para ::.desempenhar as funções dé secretário ad hoc da Comissão de Processo Administrativ.o . Disciplinar nº 23433.000055.2018-62.,,extinta,,,https://drive.ifsp.edu.br/s/sbmSIylbf8jsjqP,
2020,CPV.0003,01/15/2020,Trata da designação de substituto à função gratificada de Coordenador de Licitações e Contratos do IFSP – Câmpus Capivari.,S,extinta,de 20 a 29 de janeiro de 2020,"cesar eduardo armelin, eduardo camargo maia",https://drive.ifsp.edu.br/s/nP9ZUllFm54W5NI,
2020,CPV.0004,01/16/2020,Trata da designação dos fiscais de contrato 11.712/2019 do IFSP-Câmpus Capivari.(PATRYCIA PINTURA PREDIAL),F,Revogada pela Portaria nº 049/2022,até o fim do contrato,Zenilton José da Rocha; Antônio Carlos da Silva Bonfim,https://drive.ifsp.edu.br/s/YagI3H95xu1RART,
2020,CPV.0005,01/23/2020,Trata da designação dos fiscais da  apólice 01.18.0021388 do IFSP-Câmpus Capivari.(GENTE SEGURADORA PATRIMONIO),F,Revogada pela Portaria n CPV.0214/2020,até o fim do contrato,Eduardo Camargo Maia; Michele Pereira de Faria,https://drive.ifsp.edu.br/s/mYjKI352d4jo4Yz,
2020,CPV.0006,02/05/2020,Trata da designação de membros de banca examinadora para processo seletivo simplificado de professor substituto de SOCIOLOGIA do IFSP-Câmpus Capivari.,C,extinta,sem mandato expresso,"André Valente de Barros Barreto;Gianna Andréia Ferreira Gobbi Spadote;Maria Amélia Ferraciú Pagotto;Francine Maria Ribeiro",https://drive.ifsp.edu.br/s/l61HR6mWgFsyinM,
2020,CPV.0007,02/05/2020,Trata da designação de membros de banca examinadora para processo seletivo simplificado de professor substituto de HISTÓRIA do IFSP-Câmpus Capivari.,C,extinta,sem mandato expresso," Felipe de Paula Góis Vieira; Isabel Cristina das Chagas Oliveira; Tiago José Berg;Francine Maria Ribeiro",https://drive.ifsp.edu.br/s/gdQUo1FOdaV96Sw,
2020,CPV.0008,02/05/2020,Trata da designação de membros de banca examinadora para processo seletivo simplificado de professor substituto de INFORMÁTICA do IFSP-Câmpus Capivari.,C,extinta,sem mandato expresso,"	Rafael Fernando Diorio ; Carlos Roberto Paviotti; Isabel Cristina das Chagas Oliveira",https://drive.ifsp.edu.br/s/3FueeczvUn8t3Zi,
2020,CPV.0009,02/06/2020,Trata da designação de membros de comissão de Reavaliação de Bens Móveis do IFSP – Câmpus Capivari.,C,extinta,até 31 de dezembro de 2020,Osmar Ruy Neto; Antonio Carlos da Silva Bomfim;César Eduardo Armelin;Evandro Datti;Geraldo Amaral Adão;Larissa Carvalho Alves;Luciana Martins Gatti;Michele Cristina dos Santos;Valéria da Silva Martins Poletti;,https://drive.ifsp.edu.br/s/gCMFdwgrdadbTHH,
2020,CPV.0010,02/06/2020,Trata da designação dos membros da Comissão Anual de Alienação e Outras Formas de Desfazimento de Bens Inservíveis do IFSP-Câmpus Capivari.,C,Alterada pela Portaria CPV.0025/2020,até 31 de dezembro de 2020,"Eduardo Camargo Maia – Presidente; Izabel Maria Barral Teixeira ; Júnio Rodrigues de Oliveira",https://drive.ifsp.edu.br/s/xbuV1Cf3vI5nmUV,
2020,CPV.0011,02/06/2020,Trata da aprovação de Projeto Institucional do IFSP-Câmpus Capivari para o 1ª semestre de 2020.,C,extinta,Até final do  1° semestre de 2020,"Alexandre Camargo Maia; Fernando César Russo Gomes",https://drive.ifsp.edu.br/s/WJUIJe6pSnMJQ6C,
2020,CPV.0012,02/17/2020,Trata da aprovação do Projeto Institucional “Fábrica de Software” do IFSP-Câmpus Capivari para o 1ª semestre de 2020.,C,extinta,Até final do  1° semestre de 2020,"Carlos Roberto Paviotti; Rafael Wendel Pinheiro",https://drive.ifsp.edu.br/s/D9RBw3vOxogarXd,
2020,CPV.0013,02/17/2020,Trata da aprovação do Projeto Institucional “Grupo de Estudos em Redes de Computadores” do IFSP-Câmpus Capivari para o 1ª semestre de 2020.,C,extinta,Até final do  1° semestre de 2020,"Edivaldo Serafim; Karlan Ricomini Alves",https://drive.ifsp.edu.br/s/lNhjKPhvinGrgoH,
