ano,numero,publicacao,assunto,classificacao,situacao,validade,servidores,link,alteracao
2018,CPV.0001,01/09/2018,Trata da designação dos fiscais do Contrato 01.712/2018 do IFSP-Câmpus Capivari (Auto de Vistoria do Corpo de Bombeiros),F,"Revogada pela Portaria nº CPV.0008/2019, de 29 de janeiro de 2019",,,https://drive.ifsp.edu.br/s/fjezRZiswXxaq0E,
2018,CPV.0002,01/25/2018,"Trata da designação de substituto à função de Coordenador de Manutenção, Almoxarifado e Patrimônio",S,extinta,31/01 a 02/02/2018,,https://drive.ifsp.edu.br/s/fkGuVyPvQfGhrRo,
2018,CPV.0003,01/29/2018,Subcomissão Permanente de Acompanhamento da Jornada de Trabalho dos Servidores Técnico-Administrativos,M,Será revogada a partir de 07 de janeiro de 2019,9/23/2019,,https://drive.ifsp.edu.br/s/CkyqO9DgBbvikns,
2018,CPV.0004,02/01/2018,Comissão Verificadora de Aproveitamento de Estudos do Curso de Processos Químicos,C,Alterada pela Portaria nº CPV.0093/2021,,,https://drive.ifsp.edu.br/s/OLl1q5T2l1PlVKa,
2018,CPV.0005,02/01/2018,CAAD - Linguagens,M,"Alterada pela Portaria nº CPV.0017/2018, de 08 de fevereiro de 2018",4/19/2018,,https://drive.ifsp.edu.br/s/blffgakGbwGCQ3G,
2018,CPV.0006,02/01/2018,Colegiado do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,M,"Alterada pela Portaria nº CPV.0031/2018, de 08 de março de 2018. Revogada pela Portaria nº CPV.0141/2018, de 03 de setembro de 2018.",Representantes docentes e dos pedagogos e técnicos em assuntos educacionais inicia-se em 28/07/2016 e encerra-se em 27/07/2018. Representantes discentes inicia-se em 11/08/2017 e encerra-se em 10/08/2018,,https://drive.ifsp.edu.br/s/0dKwVKLfyakb5CQ,
2018,CPV.0007,02/02/2018,Trata da designação de substituto à função de Coordenador de Tecnologia da Informação,S,extinta,15 a 23/02/2018,,https://drive.ifsp.edu.br/s/j9YVmBCyhZTByJz,
2018,CPV.0008,02/05/2018,Comissão Verificadora de Aproveitamento de Estudos do Curso de Análise e Desenvolvimento de Sistemas,C,Alterada pela Portaria n° CPV.0064/2019,,,https://drive.ifsp.edu.br/s/RNurefh5Lf8PfwU,
2018,CPV.0009,02/07/2018,Comissão Organizadora da III Jornada de Estudos em Computação,C,extinta,15 e 16 de maio de 2018,,https://drive.ifsp.edu.br/s/t9QC5Jq7zCMfE00,
2018,CPV.0010,02/07/2018,Revogação de Portaria,R,extinta,,,https://drive.ifsp.edu.br/s/tCpn1uLPy9NmGcB,
2018,CPV.0011,02/08/2018,Revogação de Portaria,R,extinta,,,https://drive.ifsp.edu.br/s/Seyeu4TcrM5EV9W,
2018,CPV.0012,02/08/2018,Comissão de Acompanhamento da Chamada Pública para Aplicação dos Recursos do Programa Nacional de Alimentação Escolar-PNAE,C,"Revogada pela Portaria nº CPV.0091/2018, de 06 de junho de 2018",,,https://drive.ifsp.edu.br/s/KvsuLcPbynGNYmK,
2018,CPV.0013,02/08/2018,CAAD - Informática,M,extinta,5/18/2018,,https://drive.ifsp.edu.br/s/iViqNcCFQn4ZylC,
2018,CPV.0014,02/08/2018,CAAD - Gestão,M,extinta,5/18/2018,,https://drive.ifsp.edu.br/s/kMpvqnXODRyBVmA,
2018,CPV.0015,02/08/2018,CAAD de Química e Educação,M,extinta,5/18/2018,,https://drive.ifsp.edu.br/s/IGcfJXBqejnEfp4,
2018,CPV.0016,02/08/2018,CAAD - Ciências da Natureza,M,extinta,5/18/2018,,https://drive.ifsp.edu.br/s/omkc3LkCLKdYCuG,
2018,CPV.0017,02/08/2018,CAAD - Linguagens,M,extinta,5/18/2018,,https://drive.ifsp.edu.br/s/foeAhjgxbpInXKr,Altera CPV. 0005/2018
2018,CPV.0018,02/15/2018,Trata da designação dos fiscais do Contrato 02.712/2018 do IFSP-Câmpus Capivari (Limpeza),F,"Alterada pela Portaria nº CPV.0150/2018, de 21 de setembro de 2018",,,https://drive.ifsp.edu.br/s/zc1tVrR0dEjLuYn,
2018,CPV.0019,02/16/2018,"Trata da designação dos membros da Comissão para Classificar Projetos de Ensino propostos ao Edital nº CPV.006/2018, de 15 de fevereiro de 2018",C,"Revogada pela Portaria nº CPV.0100/2018, de 27 de junho de 2018",,,https://drive.ifsp.edu.br/s/xo2Q4dUnnNFdhHm,
2018,CPV.0020,02/21/2018,CAAD - Ciências Humanas e Sociais,M,extinta,5/18/2018,,https://drive.ifsp.edu.br/s/ZWOWND1kknERX2E,Altera CPV. 0062/2016
2018,CPV.0021,02/21/2018,Comissão Verificadora de Aproveitamento de Estudos do Curso de Licenciatura em Química,C,extinta,,"Carlos Fernando Barboza da Silva;Thalita Arthur",https://drive.ifsp.edu.br/s/0XYyAr8QNLVQBJ6,
2018,CPV.0022,02/21/2018,Orientador Estágio Curricular - Licenciatura em Química,C,"Revogada pela Portaria nº CPV.0136/2018, de 28 de agosto de 2018",,,https://drive.ifsp.edu.br/s/aujrgqY1u5G4fHa,
2018,CPV.0023,02/22/2018,Trata da designação dos membros da Comissão para Avaliação de Extraordinário Aproveitamento nos Estudos - Inglês Técnico,C,"Revogada pela Portaria nº CPV.0099/2018, de 27 de junho de 2018",,,https://drive.ifsp.edu.br/s/fLTyQhktVpGnVT2,
2018,CPV.0024,02/22/2018,Trata da nomeação dos membros do Conselho de Câmpus,M,"Alterada pela Portaria nº CPV.0071/2018, de 04 de abril de 2018",15/11/2019,,https://drive.ifsp.edu.br/s/bwWq54O73wa69RY,Altera CPV. 0174/2017
2018,CPV.0025,02/22/2018,"Comitê de Pesquisa, Inovação e Pós-Graduação-COMPESQ",M,revogada pela Portaria nº CPV.0101/2019,6/25/2019,,https://drive.ifsp.edu.br/s/Ei8dzvzE8iap7Zs,Altera CPV. 0098/2017
2018,CPV.0026,02/28/2018,Trata da designação dos membros da Comissão para Avaliação de Extraordinário Aproveitamento nos Estudos - História da Ciência e da Tecnologia,C,"Revogada pela Portaria nº CPV.0099/2018, de 27 de junho de 2018",,,https://drive.ifsp.edu.br/s/Yz9C7Y34FUg6dkE,
